               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076776,            0.013579,           0.0057387,             0.67574,             0.22208,             0.28746,             0.10519,            0.097052,            0.015372,            0.008971,            0.070217,           0.0033092,           0.0033092
                   1,            0.082532,            0.013037,           0.0057598,             0.75071,             0.20901,             0.27161,            0.098315,             0.10002,            0.014937,           0.0089822,             0.03956,           0.0059849,           0.0059849
                   2,            0.084375,            0.012992,           0.0056075,             0.62099,             0.13556,             0.13317,            0.036697,             0.11331,            0.014573,            0.011222,           0.0082422,           0.0080006,           0.0080006
                   3,            0.084402,            0.012987,            0.005829,               0.671,             0.16029,             0.21436,            0.059983,             0.10636,            0.014134,           0.0092374,             0.00703,             0.00703,             0.00703
                   4,            0.083074,            0.013125,           0.0055487,             0.70839,             0.21469,             0.31326,             0.11161,             0.10064,            0.015284,           0.0096993,             0.00703,             0.00703,             0.00703
                   5,              0.0826,             0.01311,           0.0059966,             0.69001,             0.15543,             0.20006,            0.057307,             0.10604,            0.014145,           0.0094345,             0.00604,             0.00604,             0.00604
                   6,            0.079268,            0.013192,           0.0057518,              0.6737,             0.21285,             0.25833,            0.085735,            0.098194,            0.015167,           0.0095974,             0.00505,             0.00505,             0.00505
                   7,            0.078711,            0.013261,           0.0056286,             0.70969,             0.21784,             0.27355,            0.091659,            0.096482,            0.014701,           0.0096652,             0.00406,             0.00406,             0.00406
                   8,            0.074997,             0.01347,           0.0055787,             0.68638,             0.20157,             0.26377,            0.094192,            0.097829,            0.015396,           0.0094443,             0.00307,             0.00307,             0.00307
                   9,            0.074737,            0.013585,           0.0050664,             0.70172,             0.22785,             0.30601,             0.11068,             0.09699,            0.015133,            0.010219,             0.00208,             0.00208,             0.00208
