               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075044,            0.013355,           0.0052559,             0.71304,             0.22405,              0.3396,             0.11973,            0.097071,             0.01537,            0.010055,            0.070217,           0.0033092,           0.0033092
                   1,            0.080641,            0.012721,           0.0051666,             0.47797,             0.23864,             0.32079,             0.11077,              0.1052,            0.014543,           0.0091986,             0.03956,           0.0059849,           0.0059849
                   2,            0.082315,            0.012855,            0.005002,             0.73853,             0.21202,             0.35686,             0.12955,            0.098463,            0.015329,            0.010306,           0.0082422,           0.0080006,           0.0080006
                   3,            0.081664,             0.01274,           0.0054045,             0.46346,             0.30373,             0.28293,            0.090493,             0.10442,            0.014337,           0.0097835,             0.00703,             0.00703,             0.00703
                   4,            0.080535,            0.012918,           0.0050969,             0.46739,               0.273,             0.26666,            0.082946,             0.10478,            0.014365,           0.0096797,             0.00703,             0.00703,             0.00703
                   5,            0.079933,            0.012776,           0.0053218,             0.29076,             0.31316,             0.27494,            0.088758,            0.098902,            0.015108,           0.0091332,             0.00604,             0.00604,             0.00604
                   6,            0.077135,            0.012871,           0.0051928,             0.51234,             0.32284,             0.28524,             0.10329,             0.10036,            0.015284,           0.0094794,             0.00505,             0.00505,             0.00505
                   7,            0.076534,            0.013054,           0.0050067,             0.68225,             0.19882,               0.241,            0.083184,             0.10115,            0.014836,            0.010162,             0.00406,             0.00406,             0.00406
                   8,            0.072912,            0.013165,           0.0048889,             0.45384,             0.32756,             0.31372,             0.10926,             0.09946,            0.015572,           0.0094132,             0.00307,             0.00307,             0.00307
                   9,             0.07303,            0.013304,           0.0046459,             0.55643,              0.3163,             0.29424,             0.10479,              0.0973,            0.015349,           0.0095129,             0.00208,             0.00208,             0.00208
