               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06139,            0.010074,            0.013749,             0.67511,             0.53228,             0.56479,             0.25812,            0.065038,            0.015147,            0.019478,             0.07012,             0.00332,             0.00332
                   1,            0.063664,            0.010179,            0.013267,              0.6491,             0.50886,             0.55906,             0.26086,            0.068801,            0.014617,             0.01923,            0.039461,           0.0059947,           0.0059947
                   2,            0.066532,            0.010262,            0.013513,             0.69887,             0.46458,             0.51446,             0.20828,            0.071689,            0.015205,            0.019987,           0.0081426,           0.0080093,           0.0080093
                   3,            0.067023,             0.01062,            0.014263,             0.67887,             0.51842,             0.55403,             0.25842,            0.065362,             0.01586,            0.020966,             0.00703,             0.00703,             0.00703
                   4,            0.067296,            0.010669,            0.014928,              0.7067,             0.48073,             0.54143,             0.24603,            0.067723,            0.015562,            0.020359,             0.00703,             0.00703,             0.00703
                   5,            0.065702,            0.010508,            0.014288,             0.70535,              0.4924,             0.52895,             0.23514,            0.068464,             0.01548,            0.020686,             0.00604,             0.00604,             0.00604
                   6,            0.063666,            0.010557,            0.013346,             0.71164,             0.51754,             0.56193,             0.26066,            0.064612,            0.015374,             0.02251,             0.00505,             0.00505,             0.00505
                   7,            0.061587,            0.010197,            0.012587,             0.68073,             0.54549,             0.56577,             0.24936,            0.066106,            0.015178,            0.019565,             0.00406,             0.00406,             0.00406
                   8,            0.061031,            0.010294,            0.012133,             0.69567,             0.56245,             0.57858,             0.27365,            0.064265,            0.015006,            0.020924,             0.00307,             0.00307,             0.00307
                   9,            0.059465,            0.010036,            0.012076,             0.69747,             0.57049,             0.59661,             0.28164,            0.063182,            0.015019,             0.01999,             0.00208,             0.00208,             0.00208
